Point;census2018
 м. Київ (Голосіївський район);251139
 м. Київ (Дарницький район);341519
 м. Київ (Деснянський район);368816
 м. Київ (Дніпровський район);356379
 м. Київ (Оболонський район);320277
 м. Київ (Печерський район);159241
 м. Київ (Подільський район);203860
 м. Київ (Святошинський район);341871
 м. Київ (Солом´янський район);371101
 м. Київ (Шевченківський район);222634
